timestamp,open,high,low,close,adj_close,volume,warning
2025-02-03 00:00:00+00:00,41.0,41.52,40.44,41.27,39.6766,315758,
2025-02-04 00:00:00+00:00,41.16,41.94,40.73,41.8,40.1862,242957,
2025-02-05 00:00:00+00:00,41.73,41.79,41.52,41.73,40.1189,427926,
2025-02-06 00:00:00+00:00,41.94,42.4,41.75,42.13,40.5034,485330,
2025-02-07 00:00:00+00:00,42.15,42.29,41.49,41.55,39.9458,272040,
2025-02-10 00:00:00+00:00,41.47,41.69,40.96,41.13,39.542,336075,
2025-02-11 00:00:00+00:00,41.06,41.59,40.86,41.45,39.8497,362316,
2025-02-12 00:00:00+00:00,40.04,40.55,38.74,38.74,37.2443,1323631,
2025-02-13 00:00:00+00:00,39.0,39.17,37.32,37.32,35.8791,890871,
2025-02-14 00:00:00+00:00,37.4,37.94,36.75,37.94,36.4752,1090516,
2025-02-17 00:00:00+00:00,37.75,38.51,37.5,38.4,36.9174,577788,
2025-02-18 00:00:00+00:00,38.5,38.66,38.02,38.15,36.6771,383010,
2025-02-19 00:00:00+00:00,38.72,38.97,37.95,38.2,36.7252,649979,
2025-02-20 00:00:00+00:00,38.2,38.83,38.04,38.39,36.9078,620953,
2025-02-21 00:00:00+00:00,38.33,38.69,38.11,38.12,36.6483,616734,
2025-02-24 00:00:00+00:00,38.24,38.67,38.1,38.4,36.9174,419512,
2025-02-25 00:00:00+00:00,38.19,38.41,37.77,37.89,36.4271,484954,
2025-02-26 00:00:00+00:00,38.19,40.81,38.19,39.98,38.4364,1207573,
2025-02-27 00:00:00+00:00,39.49,40.03,38.47,38.86,37.3597,835214,
2025-02-28 00:00:00+00:00,38.58,38.91,38.38,38.69,37.1962,727149,
2025-03-03 00:00:00+00:00,38.6,39.91,38.5,39.17,37.6577,622609,
2025-03-04 00:00:00+00:00,39.0,39.41,38.39,38.44,36.9559,730391,
2025-03-05 00:00:00+00:00,39.14,40.73,39.12,40.6,39.0325,875704,
2025-03-06 00:00:00+00:00,40.95,43.12,40.79,42.91,41.2533,836938,
2025-03-07 00:00:00+00:00,42.52,42.52,41.61,42.0,40.3785,516503,
2025-03-10 00:00:00+00:00,42.22,42.28,41.38,42.14,40.5131,395848,
2025-03-11 00:00:00+00:00,42.26,43.39,41.83,42.36,40.7246,663711,
2025-03-12 00:00:00+00:00,42.66,43.17,41.66,41.89,40.2727,526498,
2025-03-13 00:00:00+00:00,41.57,41.73,40.45,40.71,39.1383,571742,
2025-03-14 00:00:00+00:00,40.99,43.18,40.8,42.53,40.888,581727,
2025-03-17 00:00:00+00:00,42.75,43.12,42.47,42.63,40.9841,275533,
2025-03-18 00:00:00+00:00,42.78,43.75,42.38,43.69,42.0032,565551,
2025-03-19 00:00:00+00:00,43.45,43.82,42.65,42.71,41.061,446568,
2025-03-20 00:00:00+00:00,42.79,42.98,41.61,41.75,40.1381,535613,
2025-03-21 00:00:00+00:00,41.48,41.48,40.42,40.48,38.9171,2278786,
2025-03-24 00:00:00+00:00,41.07,41.23,40.05,40.15,38.5999,473309,
2025-03-25 00:00:00+00:00,40.39,41.14,40.25,40.62,39.0517,376176,
2025-03-26 00:00:00+00:00,40.78,41.34,40.67,41.34,39.7439,354949,
2025-03-27 00:00:00+00:00,40.83,42.04,40.83,41.96,40.34,514421,
2025-03-28 00:00:00+00:00,40.25,40.97,39.5,39.5,39.5,608521,
2025-03-31 00:00:00+00:00,38.96,39.13,37.82,38.2,38.2,589487,
