timestamp,open,high,low,close,adj_close,volume,warning
2025-02-03 00:00:00+00:00,32.4,32.75,32.34,32.54,31.6132,6848638,
2025-02-04 00:00:00+00:00,32.56,32.62,32.11,32.35,31.4286,5167488,
2025-02-05 00:00:00+00:00,32.33,32.68,32.24,32.66,31.7298,4325160,
2025-02-06 00:00:00+00:00,32.66,33.02,32.55,33.02,32.0796,6786721,
2025-02-07 00:00:00+00:00,33.0,33.16,32.91,32.91,31.9727,5789723,
2025-02-10 00:00:00+00:00,33.11,33.5,33.01,33.38,32.4293,7432896,
2025-02-11 00:00:00+00:00,33.35,33.94,33.25,33.83,32.8665,5792777,
2025-02-12 00:00:00+00:00,33.99,34.12,33.71,34.12,33.1482,6736584,
2025-02-13 00:00:00+00:00,33.83,34.09,33.3,33.59,32.6333,9083070,
2025-02-14 00:00:00+00:00,33.49,33.68,33.35,33.62,32.6625,6489040,
2025-02-17 00:00:00+00:00,33.6,34.04,33.57,34.04,33.0705,4451995,
2025-02-18 00:00:00+00:00,34.04,34.52,34.04,34.47,33.4883,6234105,
2025-02-19 00:00:00+00:00,34.39,34.89,34.34,34.34,33.362,7840586,
2025-02-20 00:00:00+00:00,34.5,34.77,34.25,34.25,33.2745,6847008,
2025-02-21 00:00:00+00:00,34.4,34.52,34.14,34.52,33.5368,9642351,
2025-02-24 00:00:00+00:00,34.65,34.85,34.52,34.66,33.6728,5576962,
2025-02-25 00:00:00+00:00,34.55,35.01,34.41,34.98,33.9837,7177587,
2025-02-26 00:00:00+00:00,33.71,34.29,33.22,33.84,32.8762,13193020,
2025-02-27 00:00:00+00:00,33.84,34.67,33.84,34.42,33.4397,8730388,
2025-02-28 00:00:00+00:00,34.42,34.79,34.32,34.75,33.7603,12809130,
2025-03-03 00:00:00+00:00,34.89,35.91,34.75,35.85,34.829,8900153,
2025-03-04 00:00:00+00:00,35.86,35.9,35.14,35.14,34.1392,9850614,
2025-03-05 00:00:00+00:00,34.85,34.94,33.94,33.94,32.9734,12817100,
2025-03-06 00:00:00+00:00,34.01,34.06,32.56,33.05,32.1087,15200660,
2025-03-07 00:00:00+00:00,33.38,34.07,32.95,34.07,33.0997,10418880,
2025-03-10 00:00:00+00:00,34.07,34.61,33.69,34.5,33.5174,10308230,
2025-03-11 00:00:00+00:00,34.5,34.81,33.31,33.43,32.4779,12123560,
2025-03-12 00:00:00+00:00,33.35,33.52,32.95,33.32,32.371,9599553,
2025-03-13 00:00:00+00:00,33.32,33.81,33.3,33.81,32.8471,7417150,
2025-03-14 00:00:00+00:00,33.54,33.89,33.28,33.7,32.7402,9879860,
2025-03-17 00:00:00+00:00,33.7,33.86,33.54,33.82,32.8568,6298662,
2025-03-18 00:00:00+00:00,33.86,34.09,33.52,33.79,32.8276,6431768,
2025-03-19 00:00:00+00:00,33.61,33.9,33.55,33.55,32.5945,6333551,
2025-03-20 00:00:00+00:00,33.55,33.65,33.33,33.34,32.3904,7803477,
2025-03-21 00:00:00+00:00,33.44,33.76,33.27,33.76,32.7985,17709760,
2025-03-24 00:00:00+00:00,33.8,33.82,33.23,33.3,32.3516,5134056,
2025-03-25 00:00:00+00:00,33.39,33.67,33.3,33.4,32.4487,5681013,
2025-03-26 00:00:00+00:00,33.37,33.59,32.8,33.55,32.5945,5465358,
2025-03-27 00:00:00+00:00,33.43,33.59,33.29,33.41,32.4584,6359131,
2025-03-28 00:00:00+00:00,33.57,34.25,33.54,34.13,33.1579,7617649,
2025-03-31 00:00:00+00:00,34.09,34.56,33.92,34.22,33.2454,7781662,
