timestamp,open,high,low,close,adj_close,volume,warning
2025-02-03 00:00:00+00:00,4.8045,4.897,4.769,4.8415,4.699,34812461,
2025-02-04 00:00:00+00:00,4.882,5.0,4.831,4.9885,4.8417,25797811,
2025-02-05 00:00:00+00:00,5.19,5.421,5.19,5.402,5.2431,110472602,
2025-02-06 00:00:00+00:00,5.416,5.636,5.407,5.628,5.4624,66058383,
2025-02-07 00:00:00+00:00,5.596,5.621,5.507,5.527,5.3644,41594770,
2025-02-10 00:00:00+00:00,5.51,5.547,5.48,5.484,5.3226,27354939,
2025-02-11 00:00:00+00:00,5.48,5.666,5.478,5.656,5.4896,39496930,
2025-02-12 00:00:00+00:00,5.667,5.792,5.648,5.767,5.5973,43442699,
2025-02-13 00:00:00+00:00,5.8,5.803,5.7,5.721,5.5527,29778779,
2025-02-14 00:00:00+00:00,5.72,5.814,5.682,5.792,5.6216,41267762,
2025-02-17 00:00:00+00:00,5.759,5.874,5.753,5.81,5.6391,22274510,
2025-02-18 00:00:00+00:00,5.817,5.968,5.809,5.961,5.7856,40619859,
2025-02-19 00:00:00+00:00,5.87,5.955,5.802,5.805,5.6342,32059369,
2025-02-20 00:00:00+00:00,5.8,5.918,5.779,5.819,5.6478,39413770,
2025-02-21 00:00:00+00:00,5.8,5.892,5.784,5.884,5.7109,33934738,
2025-02-24 00:00:00+00:00,5.9,6.0,5.876,5.955,5.7798,49202008,
2025-02-25 00:00:00+00:00,5.92,6.135,5.92,6.045,5.8671,46846738,
2025-02-26 00:00:00+00:00,6.075,6.234,6.07,6.232,6.0486,33375840,
2025-02-27 00:00:00+00:00,6.2,6.268,6.154,6.198,6.0156,55538727,
2025-02-28 00:00:00+00:00,6.162,6.23,6.08,6.222,6.0389,62012262,
2025-03-03 00:00:00+00:00,6.179,6.34,6.12,6.297,6.1117,31959910,
2025-03-04 00:00:00+00:00,6.17,6.203,5.887,5.916,5.7419,51349191,
2025-03-05 00:00:00+00:00,6.127,6.224,6.093,6.16,5.9788,38879121,
2025-03-06 00:00:00+00:00,6.261,6.354,6.171,6.311,6.1253,49171160,
2025-03-07 00:00:00+00:00,6.16,6.304,6.151,6.223,6.0399,30070131,
2025-03-10 00:00:00+00:00,6.241,6.28,5.913,5.951,5.7759,45089754,
2025-03-11 00:00:00+00:00,6.0,6.02,5.826,5.862,5.6895,40956367,
2025-03-12 00:00:00+00:00,5.95,6.082,5.927,6.002,5.8254,32055439,
2025-03-13 00:00:00+00:00,5.923,6.031,5.908,6.006,5.8293,26485061,
2025-03-14 00:00:00+00:00,5.98,6.242,5.922,6.214,6.0312,37629090,
2025-03-17 00:00:00+00:00,6.203,6.327,6.153,6.327,6.1408,35575441,
2025-03-18 00:00:00+00:00,6.33,6.586,6.327,6.58,6.3864,57264699,
2025-03-19 00:00:00+00:00,6.5,6.595,6.488,6.561,6.368,41123738,
2025-03-20 00:00:00+00:00,6.555,6.579,6.313,6.4,6.2117,39847488,
2025-03-21 00:00:00+00:00,6.337,6.476,6.281,6.44,6.2505,85083391,
2025-03-24 00:00:00+00:00,6.5,6.61,6.49,6.502,6.3107,28398461,
2025-03-25 00:00:00+00:00,6.509,6.628,6.505,6.619,6.4242,27078859,
2025-03-26 00:00:00+00:00,6.629,6.661,6.502,6.502,6.3107,24367770,
2025-03-27 00:00:00+00:00,6.401,6.535,6.302,6.452,6.2622,29719131,
2025-03-28 00:00:00+00:00,6.372,6.43,6.277,6.318,6.1321,30079500,
2025-03-31 00:00:00+00:00,6.243,6.25,6.104,6.196,6.0137,31557029,
2025-04-01 00:00:00+00:00,6.234,6.373,6.193,6.323,6.137,25457400,
2025-04-02 00:00:00+00:00,6.282,6.364,6.255,6.352,6.1651,23452760,
2025-04-03 00:00:00+00:00,6.14,6.182,5.99,6.022,5.8448,54228199,
2025-04-04 00:00:00+00:00,5.901,5.92,5.346,5.494,5.3323,101126398,
2025-04-07 00:00:00+00:00,4.645,5.52,4.645,5.243,5.0887,120129102,
2025-04-08 00:00:00+00:00,5.47,5.625,5.225,5.504,5.3421,61699320,
2025-04-09 00:00:00+00:00,5.28,5.465,5.252,5.365,5.2071,51576910,
2025-04-10 00:00:00+00:00,6.372,6.372,5.662,5.662,5.4954,63358359,
2025-04-11 00:00:00+00:00,5.674,5.708,5.51,5.588,5.4236,26583650,
2025-04-14 00:00:00+00:00,5.783,5.829,5.695,5.798,5.6274,23820820,
2025-04-15 00:00:00+00:00,5.825,6.035,5.815,6.006,5.8293,75252648,
2025-04-16 00:00:00+00:00,5.973,6.025,5.911,6.025,5.8477,32781988,
2025-04-17 00:00:00+00:00,6.01,6.027,5.913,5.942,5.7672,29403830,
2025-04-22 00:00:00+00:00,5.966,6.075,5.947,6.053,5.8749,32702939,
2025-04-23 00:00:00+00:00,6.162,6.337,6.16,6.32,6.134,72827883,
2025-04-24 00:00:00+00:00,6.294,6.322,6.2,6.254,6.07,20987910,
2025-04-25 00:00:00+00:00,6.306,6.416,6.286,6.416,6.2272,71501273,
2025-04-28 00:00:00+00:00,6.43,6.563,6.408,6.535,6.3427,30082500,
2025-04-29 00:00:00+00:00,6.5,6.53,6.376,6.433,6.3506,28103859,
2025-04-30 00:00:00+00:00,6.368,6.39,5.999,6.182,6.1028,74223250,
2025-05-02 00:00:00+00:00,6.257,6.337,6.212,6.337,6.2558,35852031,
2025-05-05 00:00:00+00:00,6.4,6.428,6.32,6.384,6.3022,22761180,
2025-05-06 00:00:00+00:00,6.39,6.437,6.257,6.349,6.2677,20839211,
2025-05-07 00:00:00+00:00,6.36,6.408,6.327,6.351,6.2697,50070551,
2025-05-08 00:00:00+00:00,6.392,6.561,6.365,6.561,6.477,67686578,
2025-05-09 00:00:00+00:00,6.56,6.653,6.53,6.653,6.5678,36699020,
2025-05-12 00:00:00+00:00,6.676,6.794,6.676,6.765,6.6784,32708250,
2025-05-13 00:00:00+00:00,6.728,6.789,6.721,6.783,6.6961,23079650,
2025-05-14 00:00:00+00:00,6.8,6.897,6.752,6.897,6.8087,43420301,
2025-05-15 00:00:00+00:00,6.849,6.894,6.809,6.87,6.782,22033609,
2025-05-16 00:00:00+00:00,6.89,6.924,6.839,6.913,6.8245,28800670,
2025-05-19 00:00:00+00:00,6.9,6.994,6.877,6.943,6.8541,22724080,
2025-05-20 00:00:00+00:00,6.953,7.095,6.87,7.044,6.9538,36140992,
2025-05-21 00:00:00+00:00,7.04,7.15,7.012,7.036,6.9459,26381189,
2025-05-22 00:00:00+00:00,6.997,7.085,6.87,7.074,6.9834,25087430,
2025-05-23 00:00:00+00:00,7.07,7.195,6.754,6.97,6.8807,44036168,
2025-05-26 00:00:00+00:00,7.063,7.104,7.02,7.058,6.9676,29624699,
2025-05-27 00:00:00+00:00,7.047,7.107,7.009,7.105,7.014,27277301,
2025-05-28 00:00:00+00:00,7.088,7.143,7.027,7.034,6.9439,25817500,
2025-05-29 00:00:00+00:00,7.112,7.114,7.03,7.03,6.94,17158150,
2025-05-30 00:00:00+00:00,7.03,7.105,6.964,7.031,6.941,53589199,
2025-06-02 00:00:00+00:00,6.984,7.08,6.965,7.041,6.9508,22429660,
2025-06-03 00:00:00+00:00,7.033,7.065,6.901,7.0,6.9104,23324150,
2025-06-04 00:00:00+00:00,7.015,7.054,6.891,6.95,6.861,17347490,
2025-06-05 00:00:00+00:00,6.967,7.062,6.915,7.049,6.9587,18045881,
2025-06-06 00:00:00+00:00,7.026,7.121,6.995,7.078,6.9874,19460301,
2025-06-09 00:00:00+00:00,7.044,7.094,7.028,7.083,6.9923,13797570,
2025-06-10 00:00:00+00:00,7.043,7.065,6.94,6.94,6.8511,21806340,
2025-06-11 00:00:00+00:00,6.955,7.021,6.916,6.962,6.8728,20917430,
2025-06-12 00:00:00+00:00,6.9,7.032,6.874,6.999,6.9094,18918689,
2025-06-13 00:00:00+00:00,6.851,6.891,6.808,6.859,6.7712,25213150,
2025-06-16 00:00:00+00:00,6.893,7.128,6.893,7.128,7.0367,31554900,
2025-06-17 00:00:00+00:00,7.075,7.081,6.875,6.937,6.8482,24132680,
2025-06-18 00:00:00+00:00,6.89,6.964,6.862,6.962,6.8728,20808090,
2025-06-19 00:00:00+00:00,6.923,6.94,6.79,6.795,6.708,19429000,
2025-06-20 00:00:00+00:00,6.82,6.976,6.82,6.915,6.8264,47731887,
2025-06-23 00:00:00+00:00,6.88,6.963,6.795,6.857,6.7692,19708250,
2025-06-24 00:00:00+00:00,7.0,7.087,6.95,7.072,6.9814,27221580,
2025-06-25 00:00:00+00:00,7.078,7.084,6.862,6.903,6.8146,19685859,
2025-06-26 00:00:00+00:00,6.913,6.938,6.838,6.886,6.7978,18452689,
2025-06-27 00:00:00+00:00,6.93,7.037,6.893,7.037,6.9469,19736029,
2025-06-30 00:00:00+00:00,7.037,7.053,6.918,7.027,6.937,19668680,
2025-07-01 00:00:00+00:00,7.031,7.069,6.935,6.965,6.8758,15620460,
2025-07-02 00:00:00+00:00,7.05,7.197,7.009,7.12,7.0288,35840391,
2025-07-03 00:00:00+00:00,7.14,7.248,7.063,7.248,7.1552,25504539,
2025-07-04 00:00:00+00:00,7.199,7.246,7.068,7.129,7.0377,17153529,
2025-07-07 00:00:00+00:00,7.12,7.299,7.117,7.299,7.2055,21436740,
2025-07-08 00:00:00+00:00,7.3,7.393,7.282,7.375,7.2806,29736061,
2025-07-09 00:00:00+00:00,7.393,7.55,7.387,7.55,7.4533,31053939,
2025-07-10 00:00:00+00:00,7.529,7.541,7.341,7.341,7.247,24243391,
2025-07-11 00:00:00+00:00,7.314,7.33,7.167,7.212,7.1196,15897760,
2025-07-14 00:00:00+00:00,7.113,7.249,7.106,7.231,7.1384,17880961,
2025-07-15 00:00:00+00:00,7.28,7.3,7.087,7.144,7.0525,14346370,
2025-07-16 00:00:00+00:00,7.13,7.252,7.13,7.172,7.0802,17207250,
2025-07-17 00:00:00+00:00,7.222,7.292,7.207,7.29,7.1966,14577670,
2025-07-18 00:00:00+00:00,7.27,7.322,7.234,7.254,7.1611,18027789,
2025-07-21 00:00:00+00:00,7.232,7.297,7.174,7.284,7.1907,14225150,
2025-07-22 00:00:00+00:00,7.243,7.279,7.144,7.228,7.1354,14243350,
2025-07-23 00:00:00+00:00,7.3,7.39,7.264,7.383,7.2885,22774221,
2025-07-24 00:00:00+00:00,7.47,7.593,7.454,7.577,7.48,26668221,
2025-07-25 00:00:00+00:00,7.534,7.616,7.503,7.593,7.4958,16256490,
2025-07-28 00:00:00+00:00,7.665,7.724,7.545,7.552,7.4553,20133311,
2025-07-29 00:00:00+00:00,7.606,7.804,7.593,7.717,7.6182,34090273,
2025-07-30 00:00:00+00:00,7.637,7.694,7.48,7.694,7.5955,31293939,
2025-07-31 00:00:00+00:00,7.696,7.75,7.511,7.536,7.4395,35725070,
2025-08-01 00:00:00+00:00,7.409,7.471,7.164,7.195,7.1029,42996449,
2025-08-04 00:00:00+00:00,7.291,7.487,7.259,7.48,7.3842,19684570,
2025-08-05 00:00:00+00:00,7.5,7.538,7.365,7.491,7.3951,18763330,
2025-08-06 00:00:00+00:00,7.54,7.608,7.489,7.608,7.5106,17078990,
2025-08-07 00:00:00+00:00,7.636,7.776,7.622,7.775,7.6754,24457660,
2025-08-08 00:00:00+00:00,7.793,7.955,7.778,7.955,7.8531,27106100,
2025-08-11 00:00:00+00:00,7.96,8.0,7.811,8.0,7.8976,19951699,
2025-08-12 00:00:00+00:00,8.0,8.064,7.95,8.015,7.9124,20424779,
2025-08-13 00:00:00+00:00,8.029,8.148,8.029,8.136,8.0318,22508971,
2025-08-14 00:00:00+00:00,8.132,8.223,8.111,8.218,8.1128,20813070,
2025-08-15 00:00:00+00:00,8.25,8.324,8.22,8.244,8.1384,18906971,
2025-08-18 00:00:00+00:00,8.2,8.235,8.089,8.203,8.098,15654910,
2025-08-19 00:00:00+00:00,8.197,8.318,8.197,8.24,8.1345,17730641,
2025-08-20 00:00:00+00:00,8.18,8.211,8.095,8.174,8.0693,15291430,
2025-08-21 00:00:00+00:00,8.184,8.257,8.125,8.257,8.1513,15945760,
2025-08-22 00:00:00+00:00,8.22,8.317,8.21,8.316,8.2095,15078080,
2025-08-25 00:00:00+00:00,8.26,8.338,8.254,8.284,8.1779,10437390,
2025-08-26 00:00:00+00:00,8.157,8.201,8.085,8.149,8.0446,36739898,
2025-08-27 00:00:00+00:00,8.148,8.179,7.99,8.063,7.9597,20680090,
2025-08-28 00:00:00+00:00,8.119,8.266,8.104,8.235,8.1295,19077369,
2025-08-29 00:00:00+00:00,8.215,8.231,8.047,8.16,8.0555,21416439,
2025-09-01 00:00:00+00:00,8.188,8.204,8.115,8.199,8.094,10909240,
2025-09-02 00:00:00+00:00,8.199,8.218,7.986,8.05,7.9469,18274250,
2025-09-03 00:00:00+00:00,8.05,8.088,7.99,8.084,7.9805,14317070,
2025-09-04 00:00:00+00:00,8.1,8.186,8.016,8.186,8.0812,20100619,
2025-09-05 00:00:00+00:00,8.2,8.248,8.054,8.089,7.9854,18177770,
2025-09-08 00:00:00+00:00,8.127,8.289,8.112,8.289,8.1828,20458359,
2025-09-09 00:00:00+00:00,8.29,8.323,8.184,8.323,8.2164,17385520,
2025-09-10 00:00:00+00:00,8.34,8.498,8.299,8.475,8.3665,29798859,
2025-09-11 00:00:00+00:00,8.482,8.541,8.401,8.541,8.4316,22913141,
2025-09-12 00:00:00+00:00,8.532,8.538,8.378,8.49,8.3813,23412270,
2025-09-15 00:00:00+00:00,8.535,8.632,8.514,8.61,8.4997,20760199,
2025-09-16 00:00:00+00:00,8.563,8.593,8.403,8.403,8.2954,22644061,
2025-09-17 00:00:00+00:00,8.422,8.458,8.371,8.391,8.2835,18510580,
2025-09-18 00:00:00+00:00,8.521,8.58,8.427,8.531,8.4218,22787539,
2025-09-19 00:00:00+00:00,8.589,8.734,8.541,8.654,8.5432,84165852,
2025-09-22 00:00:00+00:00,8.651,8.689,8.505,8.551,8.4415,21978061,
2025-09-23 00:00:00+00:00,8.6,8.702,8.551,8.687,8.5758,21782869,
2025-09-24 00:00:00+00:00,8.665,8.794,8.571,8.738,8.6261,31264189,
2025-09-25 00:00:00+00:00,8.727,8.754,8.65,8.709,8.5975,19752400,
2025-09-26 00:00:00+00:00,8.75,8.88,8.72,8.85,8.7367,20914580,
2025-09-29 00:00:00+00:00,8.863,8.876,8.747,8.747,8.635,19780670,
2025-09-30 00:00:00+00:00,8.767,8.882,8.751,8.874,8.7604,19908170,
2025-10-01 00:00:00+00:00,8.83,8.912,8.718,8.821,8.708,22854199,
2025-10-02 00:00:00+00:00,8.86,8.873,8.662,8.662,8.5511,23541199,
2025-10-03 00:00:00+00:00,8.746,8.83,8.711,8.747,8.635,15431940,
2025-10-06 00:00:00+00:00,8.72,8.791,8.611,8.693,8.5817,17676631,
2025-10-07 00:00:00+00:00,8.612,8.704,8.581,8.597,8.4869,19609471,
2025-10-08 00:00:00+00:00,8.614,8.798,8.612,8.762,8.6498,19769881,
2025-10-09 00:00:00+00:00,8.722,8.746,8.614,8.647,8.5363,14303070,
2025-10-10 00:00:00+00:00,8.643,8.762,8.52,8.52,8.4109,19949699,
2025-10-13 00:00:00+00:00,8.61,8.678,8.568,8.621,8.5106,13336680,
2025-10-14 00:00:00+00:00,8.538,8.559,8.432,8.522,8.4129,22539061,
2025-10-15 00:00:00+00:00,8.566,8.635,8.483,8.483,8.3744,18250080,
2025-10-16 00:00:00+00:00,8.486,8.579,8.42,8.579,8.4691,18745320,
2025-10-17 00:00:00+00:00,8.18,8.412,8.1,8.291,8.1848,56588672,
2025-10-20 00:00:00+00:00,8.45,8.509,8.374,8.44,8.3319,40501660,
2025-10-21 00:00:00+00:00,8.478,8.501,8.365,8.365,8.2579,46461898,
2025-10-22 00:00:00+00:00,8.365,8.473,8.344,8.389,8.2816,29811260,
2025-10-23 00:00:00+00:00,8.411,8.474,8.363,8.394,8.2865,12318820,
2025-10-24 00:00:00+00:00,8.43,8.468,8.31,8.371,8.2638,17105420,
2025-10-27 00:00:00+00:00,8.42,8.55,8.41,8.511,8.402,27482150,
2025-10-28 00:00:00+00:00,8.5,8.643,8.479,8.607,8.4968,29850500,
2025-10-29 00:00:00+00:00,8.607,8.988,8.552,8.98,8.865,58187805,
2025-10-30 00:00:00+00:00,8.958,8.958,8.605,8.75,8.75,31127250,
2025-10-31 00:00:00+00:00,8.791,8.854,8.72,8.826,8.826,20602993,
2025-11-03 00:00:00+00:00,8.78,8.933,8.76,8.847,8.847,17179638,
2025-11-04 00:00:00+00:00,8.746,8.806,8.625,8.806,8.806,63755238,
2025-11-05 00:00:00+00:00,8.69,8.877,8.686,8.877,8.877,16308128,
2025-11-06 00:00:00+00:00,8.88,8.985,8.84,8.943,8.943,22007844,
2025-11-07 00:00:00+00:00,8.985,9.002,8.81,8.849,8.849,21927577,
2025-11-10 00:00:00+00:00,9.0,9.174,8.969,9.174,9.174,27304790,
2025-11-11 00:00:00+00:00,9.157,9.314,9.155,9.309,9.309,24049035,
2025-11-12 00:00:00+00:00,9.315,9.597,9.315,9.564,9.564,51788574,
2025-11-13 00:00:00+00:00,9.55,9.599,9.532,9.55,9.55,23033220,
2025-11-14 00:00:00+00:00,9.377,9.41,9.205,9.291,9.291,22844848,
2025-11-17 00:00:00+00:00,9.288,9.312,9.06,9.1,9.1,18544257,
2025-11-18 00:00:00+00:00,8.9,8.941,8.724,8.773,8.773,34698068,
2025-11-19 00:00:00+00:00,8.773,8.964,8.737,8.92,8.92,23855535,
2025-11-20 00:00:00+00:00,9.06,9.06,8.918,8.922,8.922,19507217,
2025-11-21 00:00:00+00:00,8.75,8.868,8.725,8.805,8.805,25090259,
2025-11-24 00:00:00+00:00,8.93,8.954,8.793,8.828,8.828,55325921,
2025-11-25 00:00:00+00:00,8.865,9.063,8.816,9.036,9.036,22070538,
2025-11-26 00:00:00+00:00,9.099,9.215,9.068,9.213,9.213,22532248,
2025-11-27 00:00:00+00:00,9.19,9.291,9.16,9.241,9.241,15386600,
2025-11-28 00:00:00+00:00,9.241,9.277,9.195,9.243,9.243,15926871,
